source_id,url,content_class,raw_directory,file_extension,suggested_raw_path,suggested_text_path,source_name,source_type,source_family,provider,title,published_at,date_status,confidence,facility_kinds,facility_ids,facility_names,document_refs,download_priority,download_status,http_status,content_type,retrieved_at,local_path,text_path,sha256,error,source_date_verified,source_date_method,source_date_candidates,source_date_confidence,text_status,text_chars,text_error
SRC_008230e4d3f9bc5b,https://www.yonden.co.jp/energy/atom/safety,official_html,raw/html,html,raw/html/SRC_008230e4d3f9bc5b_伊方発電所の安全対策｜四国電力.html,raw/text/SRC_008230e4d3f9bc5b.txt,四国電力,utility_company,operator_or_utility,,伊方発電所の安全対策｜四国電力,,missing,medium,generation,generation_113;generation_1910;generation_1911;generation_1912;generation_47;generation_55;generation_8558;generation_9992,伊方発電所,8,A,downloaded,200,text/html; charset=UTF-8,2026-07-11T21:43:19+08:00,raw\html\SRC_008230e4d3f9bc5b_伊方発電所の安全対策｜四国電力.html,raw/text/SRC_008230e4d3f9bc5b.txt,951823844a68e68222ac3ff3ddf24a37020e15b04e1a7f0bf6297da1adf22473,,,,,,extracted,3484,
SRC_010e263d53f0b61d,https://www.chuden.co.jp/energy/nuclear/hamaoka/compliant_newregulatoryrequirements,official_html,raw/html,html,raw/html/SRC_010e263d53f0b61d_新規制基準適合性審査における基準地震動策定に係る不適切事案について_-_浜岡原子力発電所について｜中部電力.html,raw/text/SRC_010e263d53f0b61d.txt,中部電力,utility_company,operator_or_utility,,新規制基準適合性審査における基準地震動策定に係る不適切事案について - 浜岡原子力発電所について｜中部電力,,missing,medium,generation,generation_9571;generation_9629;generation_9631;generation_9632;generation_9633,浜岡原子力発電所,5,A,downloaded,200,text/html,2026-07-11T21:43:22+08:00,raw\html\SRC_010e263d53f0b61d_新規制基準適合性審査における基準地震動策定に係る不適切事案について_-_浜岡原子力発電所について｜中部電力.html,raw/text/SRC_010e263d53f0b61d.txt,81400efef8883abb4a06bf3f5b6f0dab879cfca5331b4bbcba652be7498d0bef,,,,,,extracted,5465,
SRC_02608ca22c12eb6e,https://www.hepco.co.jp/info/2018/1229723_1753.html,official_html,raw/html,html,raw/html/SRC_02608ca22c12eb6e_設備および停電等の状況について（9月7日9時現在）_-_北海道電力.html,raw/text/SRC_02608ca22c12eb6e.txt,北海道电力,utility_company,operator_or_utility,,設備および停電等の状況について（9月7日9時現在） - 北海道電力,2018-12,inferred,medium,generation;substations,generation_10174;generation_10250;generation_6420;generation_6421;generation_6423;generation_6469;generation_6470;generation_7183;generation_7301;generation_9954;generation_9970;substation_111;substation_113;substation_117;substation_120;substation_122;substation_124;substation_125;substation_126;substation_127;substation_171;substation_188;substation_24;substation_356;substation_523,北芽室変電所;北見変電所（附属変電所1）;宇円別変電所;山田変電所;新冠水力発電所;新冠発電所;新旭川変電所（附属変電所1）;旭川変電所;札内変電所;東釧路変電所;池田変電所;泊発電所;留辺蘂変電所;砂川発電所;苫小牧変電所;西帯広変電所;音別発電所;高見ダム,25,A,downloaded,200,text/html,2026-07-11T21:43:18+08:00,raw\html\SRC_02608ca22c12eb6e_設備および停電等の状況について（9月7日9時現在）_-_北海道電力.html,raw/text/SRC_02608ca22c12eb6e.txt,5a3a563cf5988d39bd4b5787c182fb6f7de06ffda4f1ae663269494807ff018b,,,,,,extracted,2180,
SRC_029c027348d84904,https://www.tepco.co.jp/cc/direct/1225008_1992.html,official_html,raw/html,html,raw/html/SRC_029c027348d84904_東京電力ホールディングス.html,raw/text/SRC_029c027348d84904.txt,東京電力PG,utility_company_search,operator_or_utility,,東京電力ホールディングス,,missing,medium,generation,generation_7323,広野火力発電所（附属电站1）,1,A,downloaded,200,text/html,2026-07-11T16:31:13.836Z,raw/html/SRC_029c027348d84904_東京電力ホールディングス.html,raw/text/SRC_029c027348d84904.txt,b03fe8cb5504f337869ffe2af2f3fcc7ca50ab68c0980a43281a92cd2070d86c,,,,,,extracted,763,
SRC_02ed09ae17e5e995,https://www.tepco.co.jp/nu/fukushima-np/f1/data/2013/index-j.html,official_html,raw/html,html,raw/html/SRC_02ed09ae17e5e995_東京電力ホールディングス.html,raw/text/SRC_02ed09ae17e5e995.txt,東京電力PG,utility_company_search,operator_or_utility,,東京電力ホールディングス,2013,inferred,high,generation,generation_10384,福島第一原子力発電所,1,A,downloaded,200,text/html,2026-07-11T16:32:56.845Z,raw/html/SRC_02ed09ae17e5e995_東京電力ホールディングス.html,raw/text/SRC_02ed09ae17e5e995.txt,e7a12f659f2998dcd3e75019a9e2425b7cbeb6c366c07c80de6d6111f4256742,,,,,,extracted,507,
SRC_03449156f962c545,https://www.yonden.co.jp/energy/p_station/solar,official_html,raw/html,html,raw/html/SRC_03449156f962c545_太陽光発電所｜四国電力.html,raw/text/SRC_03449156f962c545.txt,四国電力,utility_company,operator_or_utility,,太陽光発電所｜四国電力,,missing,medium,generation,generation_113;generation_1910;generation_1911;generation_1912;generation_47;generation_55;generation_8558;generation_9992,伊方発電所,8,A,downloaded,200,text/html; charset=UTF-8,2026-07-11T21:43:24+08:00,raw\html\SRC_03449156f962c545_太陽光発電所｜四国電力.html,raw/text/SRC_03449156f962c545.txt,b112f7b63d281ba798058a31854835ced99b73dbe3347a9b1d841a847ffba3f9,,,,,,extracted,3535,
SRC_03dddae9d850324b,https://www.hepco.co.jp/info/info2018/1231172_1762.html,official_html,raw/html,html,raw/html/SRC_03dddae9d850324b_損害賠償請求に関する報道について_-_北海道電力.html,raw/text/SRC_03dddae9d850324b.txt,北海道电力,utility_company,operator_or_utility,,損害賠償請求に関する報道について - 北海道電力,2018-12,inferred,medium,generation;substations,generation_10160;generation_10235;generation_10273;generation_10807;generation_10815;generation_10836;generation_10859;generation_6419;generation_6422;generation_6424;generation_6487;generation_6489;generation_9846;substation_112;substation_138;substation_141;substation_144;substation_208;substation_304;substation_344;substation_345;substation_348;substation_349;substation_351;substation_353;substation_354;substation_355;substation_366;substation_38;substation_39;substation_40;substation_41;substation_42;substation_45;substation_46;substation_50;substation_524;substation_530;substation_574;substation_581;substation_592;substation_593;substation_617;substation_635;substation_642;substation_644;substation_646;substation_647;substation_648;substation_649;substation_650;substation_652;substation_657;substation_659;substation_661;substation_662;substation_677;substation_685;substation_687;substation_701;substation_702;substation_703;substation_704;substation_705;substation_71;substation_713;substation_728;substation_753;substation_898;substation_900;substation_901;substation_902,えりも変電所;ほりかっぷ発電所;サニックスエナジー;三石変電所;上ノ国変電所;上興部変電所;二十四軒変電所;五稜郭開閉所;五稜郭開閉所（附属変電所1）;伊達ソーラーパーク;伊達発電所;函館市企業局東雲町変電所;勇払変電所;北海道電力 大通変電所;北海道電力ネットワーク新ひだか町変電所（附属変電所1）;北海道電力ネットワーク新ひだか町変電所（附属変電所2）;北海道電力ネットワーク新ひだか町変電所（附属変電所3）;北海道電力株式会社沼田町変電所;北見変電所（附属変電所1）;南早来変電所;南札幌変電所;太平洋興発変電所;富川変電所;小頓別変電所;岩清水開閉所;川西変電所;幌満変電所;平取変電所;新冠開閉所;新冠開閉所（附属変電所1）;新琴似変電所;明野変電所;明野変電所（附属変電所1）;木野変電所;本桐変電所;札幌市交通局　高速電車大谷地変電所;札幌市交通局高速電車 すすきの変電所;札幌市交通局高速電車 すすきの変電所（附属変電所1）;東町変電所;東静内変電所;松前変電所（附属変電所1）;様似変電所;橋北変電所;江差変電所（附属変電所1）;沼ノ端変電所;泊変電所;泊発電所;浦河変電所;港南変電所;琴似変電所;知内発電所;石狩湾新港発電所;稚内変電所;色内変電所;芦川変電所;苫東厚真発電所;西春別変電所;西野変電所;銭亀沢変電所,72,A,downloaded,200,text/html,2026-07-11T21:43:24+08:00,raw\html\SRC_03dddae9d850324b_損害賠償請求に関する報道について_-_北海道電力.html,raw/text/SRC_03dddae9d850324b.txt,ead6f65eaeebdf9aec8462767029de13e32fdd9c21fc7abb40d6e335f82912f5,,,,,,extracted,744,
SRC_075a3e9af49b0455,https://www.tepco.co.jp/press/release/2019/1513179_8709.html,official_html,raw/html,html,raw/html/SRC_075a3e9af49b0455_東京電力ホールディングス.html,raw/text/SRC_075a3e9af49b0455.txt,東京電力PG,utility_company_search,operator_or_utility,,東京電力ホールディングス,,missing,medium,substations,substation_725,八王子変電所,1,A,downloaded,200,text/html,2026-07-11T16:33:00.493Z,raw/html/SRC_075a3e9af49b0455_東京電力ホールディングス.html,raw/text/SRC_075a3e9af49b0455.txt,8173f587eaa45c04f68d2c4ba87c9593c85c6c6589c21676949d9f3e623cf704,,,,,,extracted,971,
SRC_077d707fc0dfd4e1,https://www.jpower.co.jp/news/press/2013,official_html,raw/html,html,raw/html/SRC_077d707fc0dfd4e1_2013年_プレスリリース_ニュース_電源開発株式会社_J-POWER.html,raw/text/SRC_077d707fc0dfd4e1.txt,電源開発,generation_company,operator_or_utility,,2013年 | プレスリリース | ニュース | 電源開発株式会社 | J-POWER,2013,inferred,medium,generation,generation_10154;generation_152;generation_189;generation_201;generation_254;generation_308;generation_9952,磯子火力発電所;竹原火力発電所,7,A,downloaded,200,text/html,2026-07-11T21:43:28+08:00,raw\html\SRC_077d707fc0dfd4e1_2013年_プレスリリース_ニュース_電源開発株式会社_J-POWER.html,raw/text/SRC_077d707fc0dfd4e1.txt,7246290c4a1e5e449b4408ef1d1008eb80d29e00ed18272b645404db1ecd89ac,,,,,,extracted,6221,
SRC_07fbb4173090a2fa,https://www.yonden.co.jp/energy/p_station/tour,official_html,raw/html,html,raw/html/SRC_07fbb4173090a2fa_発電所の見学について｜四国電力.html,raw/text/SRC_07fbb4173090a2fa.txt,四国電力,utility_company,operator_or_utility,,発電所の見学について｜四国電力,,missing,medium,generation,generation_10153;generation_10180;generation_10499;generation_113;generation_115;generation_177;generation_1910;generation_1911;generation_1912;generation_2327;generation_252;generation_40;generation_47;generation_55;generation_8558;generation_9992,伊方発電所;坂出発電所;橘湾発電所;西条発電所,16,A,downloaded,200,text/html; charset=UTF-8,2026-07-11T21:43:29+08:00,raw\html\SRC_07fbb4173090a2fa_発電所の見学について｜四国電力.html,raw/text/SRC_07fbb4173090a2fa.txt,d0b9b970affcbd479cc394b4936899663df80eafdf0587047c05de83cff60ac9,,,,,,extracted,3621,
