変電所名 電圧(一次)（kV） 電圧(二次)（kV） 割引区分B
莇生変電所 77 6.6 割引B-1
甚目寺変電所 77 6.6 割引B-1
諸輪変電所 77 6.6 割引B-1
六ツ美変電所 77 6.6 割引B-1
戸崎変電所 77 6.6 割引B-1
上地変電所 77 6.6 割引B-1
三谷変電所 77 6.6 割引B-1
清田変電所 77 6.6 割引B-1
能部変電所 77 6.6 割引B-1
桑名変電所 77 6.6 割引B-1
播磨変電所 77 6.6 割引B-1
中央町変電所 77 6.6 割引B-1
牛山変電所 77 6.6 割引B-1
高蔵寺変電所 77 6.6 割引B-1
大手変電所 77 6.6 割引B-1
春日井変電所 77 6.6 割引B-1
焼津変電所 77 6.6 割引B-1
本通変電所 77 6.6 割引B-1
安東変電所 77 6.6 割引B-1
伝馬町新田変電所 77 6.6 割引B-1
観山変電所 77 6.6 割引B-1
内牧変電所 77 6.6 割引B-1
安倍変電所（２） 77 6.6 割引B-1
安西変電所 77 6.6 割引B-1
用宗変電所 77 6.6 割引B-1
西大谷変電所 77 6.6 割引B-1
西脇変電所 77 6.6 割引B-1
西島変電所 77 6.6 割引B-1
馬渕変電所 77 6.6 割引B-1
富士川変電所 77 6.6 割引B-1
松原町変電所 77 6.6 割引B-1
袖師変電所 77 6.6 割引B-1
庵原変電所 77 6.6 割引B-1
江尻変電所 77 6.6 割引B-1
興津変電所 77 6.6 割引B-1
東青島変電所 77 6.6 割引B-1
築地変電所 77 6.6 割引B-1
和合変電所 77 6.6 割引B-1
宮口変電所 77 6.6 割引B-1
若草変電所 77 6.6 割引B-1
吉根変電所 77 6.6 割引B-1
西原変電所 77 6.6 割引B-1
枇杷島変電所（２） 77 6.6 割引B-1
長良町変電所 77 6.6 割引B-1
稲葉地変電所 77 6.6 割引B-1
烏森変電所（２） 77 6.6 割引B-1

砂田橋変電所 77 6.6 割引B-1
山口町変電所 77 6.6 割引B-1
萩野変電所 77 6.6 割引B-1
六郷変電所（２） 77 6.6 割引B-1
新川変電所 33 6.6 割引B-1
御器所変電所 33 6.6 割引B-1
台町変電所 33 6.6 割引B-1
菊井変電所 33 6.6 割引B-1
牛島町変電所（３） 33 6.6 割引B-1
六句変電所 33 6.6 割引B-1
児玉町変電所 33 6.6 割引B-1
池下変電所 33 6.6 割引B-1
南武平町変電所（２） 33 6.6 割引B-1
南大津変電所 33 6.6 割引B-1
広小路変電所 33 6.6 割引B-1
錦橋変電所 33 6.6 割引B-1
長者町変電所 33 6.6 割引B-1
金山変電所（２） 33 6.6 割引B-1
三の丸変電所 33 6.6 割引B-1
大須変電所 33 6.6 割引B-1
千早変電所 33 6.6 割引B-1
大井町変電所 33 6.6 割引B-1
小山変電所 33 6.6 割引B-1
中村変電所 33 6.6 割引B-1
二ツ橋変電所 33 6.6 割引B-1
笹島変電所 33 6.6 割引B-1
水主町変電所（２） 33 6.6 割引B-1
久屋変電所 33 6.6 割引B-1
布池変電所（２） 33 6.6 割引B-1
栄変電所 33 6.6 割引B-1
東新道変電所 33 6.6 割引B-1
白鳥変電所 33 6.6 割引B-1
城北変電所 33 6.6 割引B-1
大原変電所 154 6.6 割引B-2
東境変電所 154 6.6 割引B-2
霞沢変電所 154 6.6 割引B-2
沖之島変電所 77 6.6 割引B-2
蟹江変電所 77 6.6 割引B-2
仲沖変電所 77 6.6 割引B-2
扶桑変電所 77 6.6 割引B-2
大草変電所 77 6.6 割引B-2
弥富変電所 77 6.6 割引B-2
高棚変電所 77 6.6 割引B-2
篠目変電所 77 6.6 割引B-2
大東変電所 77 6.6 割引B-2
尾崎変電所 77 6.6 割引B-2
鳥屋金変電所 77 6.6 割引B-2
外宮前変電所 77 6.6 割引B-2

塩江変電所 77 6.6 割引B-2
開明変電所 77 6.6 割引B-2
森本変電所 77 6.6 割引B-2
古知野変電所 77 6.6 割引B-2
千秋変電所 77 6.6 割引B-2
広畑変電所 77 6.6 割引B-2
毛受変電所 77 6.6 割引B-2
丹陽変電所 77 6.6 割引B-2
文京変電所 77 6.6 割引B-2
玉ノ井変電所 77 6.6 割引B-2
七ツ寺変電所 77 6.6 割引B-2
国府宮変電所 77 6.6 割引B-2
日下部変電所 77 6.6 割引B-2
岡町変電所 77 6.6 割引B-2
下青野変電所 77 6.6 割引B-2
鴨田変電所 77 6.6 割引B-2
大平変電所 77 6.6 割引B-2
康生変電所 77 6.6 割引B-2
八帖変電所（２） 77 6.6 割引B-2
長地変電所 77 6.6 割引B-2
志賀高原変電所 77 6.6 割引B-2
沓野変電所 77 6.6 割引B-2
蘇原変電所（２） 77 6.6 割引B-2
那加変電所 77 6.6 割引B-2
蒲郡変電所 77 6.6 割引B-2
形原変電所 77 6.6 割引B-2
西浦変電所 77 6.6 割引B-2
茅野変電所 77 6.6 割引B-2
北刈谷変電所（２） 77 6.6 割引B-2
南刈谷変電所 77 6.6 割引B-2
新富変電所 77 6.6 割引B-2
南桜変電所 77 6.6 割引B-2
宝町変電所 77 6.6 割引B-2
依佐美変電所（２） 77 6.6 割引B-2
地蔵山変電所 77 6.6 割引B-2
関変電所 77 6.6 割引B-2
岩倉変電所（２） 77 6.6 割引B-2
笠松変電所 77 6.6 割引B-2
上枝変電所 77 6.6 割引B-2
七日町変電所 77 6.6 割引B-2
山王変電所 77 6.6 割引B-2
荻町変電所 77 6.6 割引B-2
古川変電所 77 6.6 割引B-2
加納栄変電所 77 6.6 割引B-2
月丘町変電所 77 6.6 割引B-2
長住町変電所 77 6.6 割引B-2
今川変電所 77 6.6 割引B-2
厚見変電所 77 6.6 割引B-2

加納変電所（３） 77 6.6 割引B-2
小熊野変電所 77 6.6 割引B-2
