                                            令和３年６月２５日現在



                    汚染水処理対策委員会

                            名簿

委員長： 大西 有三      京都大学 名誉教授
委員員： 出光 一哉      九州大学大学院 教授
      西垣 誠      岡山大学大学院 特任教授
      米田 稔      京都大学大学院 教授
      山本 一良     名古屋学芸大学 副学長（名古屋大学 名誉教授）
      遠藤 和人     国立研究開発法人国立環境研究所 福島支部汚染廃棄物管理研究室長
      佐々木 隆     国土交通省国土技術政策総合研究所 河川研究部長
      丸井 敦尚     国立研究開発法人産業技術総合研究所 地質調査総合センター プロジェクトリーダー
      宮原 要      国立研究開発法人日本原子力研究開発機構 福島研究開発拠点 所長
      竹内 努      東芝エネルギーシステムズ(株)パワーシステム事業部 廃止・再処理事業統括 部長
      鴨志田 守     日立ＧＥニュークリア・エナジー(株) 経営戦略本部    主管技師長
      相河 清実     （一社）日本建設業連合会 電力対策特別委員会 委員


      小野 明      東京電力ホールディングス（株） 常務執行役
      梶山 直希     東京電力ホールディングス（株） 執行役員
      須藤 治      原子力災害対策本部 廃炉・汚染水対策チーム事務局長補佐
      光成 政和     原子力災害対策本部 廃炉・汚染水対策チーム事務局長補佐
      新川 達也     原子力災害対策本部 廃炉・汚染水対策チーム事務局長補佐
規制当局： 金子 修一     原子力規制庁長官官房 審議官
オブザーバー： 松浦 重和   文部科学省研究開発局 原子力課長
      内藤 正彦     国土交通省水管理・国土保全局 河川環境課長
      筒井 誠二     環境省水・大気環境局 水環境課課長
      高坂 潔      福島県 原子力対策監
      中村 紀吉     原子力損害賠償・廃炉等支援機構 執行役員 技術グループ長
      山本 俊二     技術研究組合国際廃炉研究開発機構 理事

